Identifier	seqid	gene_id	strand	start	end	width	gc	isPresent	log2 Ratio	pValue	fdr	wt_1 [normalized count]	wt_2 [normalized count]	mut_1 [normalized count]	mut_2 [normalized count]	wt_1 [FPKM]	wt_2 [FPKM]	mut_1 [FPKM]	mut_2 [FPKM]
YDR516C	IV	YDR516C	-	1474974	1476476	1503	0.4405	FALSE	-0.9659	0.1921	NA	5.138	4.87	2.005	2.99	698.4	674	278.4	412.1
YNL172W	XIV	YNL172W	+	310636	315882	5247	0.3863	FALSE	-0.9659	0.1921	NA	2.055	7.792	1.003	3.986	80.03	308.9	39.87	157.4
YOL119C	XV	YOL119C	-	94856	96361	1506	0.4017	FALSE	-0.9659	0.1921	NA	5.138	4.87	3.008	1.993	697.1	672.6	416.7	274.2
YDR422C	IV	YDR422C	-	1315326	1317773	2448	0.4003	FALSE	0.9645	0.1928	NA	2.055	2.922	5.013	4.983	171.5	248.3	427.3	421.7
YPR019W	XVI	YPR019W	+	596750	599551	2802	0.3997	FALSE	0.9645	0.1928	NA	2.055	2.922	5.013	4.983	149.9	216.9	373.3	368.4
YNL049C	XIV	YNL049C	-	535281	537911	2631	0.3854	FALSE	0.9645	0.1928	NA	3.083	1.948	5.013	4.983	239.4	154	397.6	392.3
YKL201C	XI	YKL201C	-	63930	67466	3537	0.382	FALSE	0.9645	0.1928	NA	3.083	1.948	3.008	6.976	178.1	114.6	177.4	408.6
YOR129C	XV	YOR129C	-	566877	569558	2682	0.371	FALSE	0.9645	0.1928	NA	4.11	0.974	6.015	3.986	313.1	75.54	468	307.9
YJR013W	X	YJR013W	+	460382	461593	1212	0.387	FALSE	0.9645	0.1928	NA	4.11	0.974	5.013	4.983	692.9	167.2	863.1	851.7
YPR048W	XVI	YPR048W	+	659182	661053	1872	0.3787	FALSE	0.9645	0.1934	NA	2.055	2.922	2.005	7.973	224.3	324.7	223.5	882.2
YPL269W	XVI	YPL269W	+	33013	34947	1935	0.3716	FALSE	-1.158	0.1994	NA	4.11	2.922	1.003	1.993	434	314.1	108.1	213.4
YDR527W	IV	YDR527W	+	1491094	1492413	1320	0.3939	FALSE	-1.158	0.1994	NA	3.083	3.896	1.003	1.993	477.2	613.9	158.5	312.8
YGR195W	VII	YGR195W	+	888882	889622	741	0.4143	FALSE	1.157	0.2	NA	1.028	1.948	4.01	2.99	283.3	546.8	1129	835.8
YBL075C	II	YBL075C	-	84499	86448	1950	0.4159	FALSE	1.157	0.2	NA	1.028	1.948	3.008	3.986	107.7	207.8	321.9	423.5
YPR115W	XVI	YPR115W	+	754877	758128	3252	0.405	FALSE	1.157	0.2	NA	1.028	1.948	3.008	3.986	64.56	124.6	193	253.9
YDR103W	IV	YDR103W	+	658350	661103	2754	0.3718	FALSE	1.157	0.2	NA	2.055	0.974	4.01	2.99	152.5	73.56	303.9	224.9
YHL040C	VIII	YHL040C	-	19088	20971	1884	0.4103	FALSE	1.157	0.2	NA	2.055	0.974	4.01	2.99	222.9	107.5	444.2	328.7
YLR369W	XII	YLR369W	+	859552	861525	1974	0.3794	FALSE	1.157	0.2	NA	2.055	0.974	4.01	2.99	212.7	102.6	423.9	313.7
YBR114W	II	YBR114W	+	467248	469620	2373	0.4008	FALSE	-1.158	0.2001	NA	5.138	1.948	2.005	0.9966	442.4	170.7	176.3	87
YIL106W	IX	YIL106W	+	166415; 166520	166434; 167444	945	0.4159	FALSE	1.157	0.202	NA	0	2.922	3.008	3.986	0	643.2	664.1	873.8
YER123W	V	YER123W	+	404813	406387	1575	0.3689	FALSE	1.157	0.2051	NA	1.028	1.948	5.013	1.993	133.3	257.3	664.1	262.1
YOR104W	XV	YOR104W	+	517642	518490	849	0.3863	FALSE	1.157	0.2051	NA	2.055	0.974	2.005	4.983	494.6	238.6	492.8	1216
YLL034C	XII	YLL034C	-	70633	73146	2514	0.3902	FALSE	1.157	0.2052	NA	1.028	1.948	2.005	4.983	83.51	161.2	166.4	410.6
YMR141W-A	XIII	YMR141W-A	+	550911	551135	225	0.3778	FALSE	-0.722	0.218	NA	8.22	6.818	3.008	5.98	7465	6303	2789	5505
YKL197C	XI	YKL197C	-	70734	73865	3132	0.3937	FALSE	-0.8487	0.2216	NA	5.138	5.844	1.003	4.983	335.2	388.1	66.8	329.6
YMR064W	XIII	YMR064W	+	397903	399459	1557	0.3539	FALSE	1.768	0.228	NA	0	0.974	0	3.986	0	130.1	0	530.4
YML065W	XIII	YML065W	+	142210	144954	2745	0.3712	FALSE	1.768	0.2288	NA	0	0.974	0	3.986	0	73.8	0	300.8
YPR056W	XVI	YPR056W	+	671126	672142	1017	0.3746	FALSE	-1.33	0.2289	NA	1.028	6.818	3.008	0	206.4	1394	617.1	0
YKL076C	XI	YKL076C	-	292838	293221	384	0.388	FALSE	1.758	0.2353	NA	1.028	0	0	3.986	546.7	0	0	2150
YAL067C	I	YAL067C	-	7235	9016	1782	0.3608	FALSE	-2.323	0.2404	NA	1.028	0	0	0	117.8	0	0	0
YAL047C	I	YAL047C	-	54989	56857	1869	0.3654	FALSE	-2.323	0.2404	NA	1.028	0	0	0	112.3	0	0	0
YAL031W-A	I	YAL031W-A	+	84669	84977	309	0.3981	FALSE	-2.323	0.2404	NA	1.028	0	0	0	679.5	0	0	0
YAL020C	I	YAL020C	-	113614	114615	1002	0.5519	FALSE	-2.323	0.2404	NA	1.028	0	0	0	209.5	0	0	0
YAR009C	I	YAR009C	-	160597	164187	3591	0.372	FALSE	-2.323	0.2404	NA	1.028	0	0	0	58.47	0	0	0
YAR018C	I	YAR018C	-	170396	171703	1308	0.393	FALSE	-2.323	0.2404	NA	1.028	0	0	0	160.5	0	0	0
YAR033W	I	YAR033W	+	188107	188811	705	0.4113	FALSE	-2.323	0.2404	NA	1.028	0	0	0	297.8	0	0	0
YAR050W	I	YAR050W	+	203403	208016	4614	0.4532	FALSE	-2.323	0.2404	NA	1.028	0	0	0	45.5	0	0	0
YBL108W	II	YBL108W	+	8177	8482	306	0.4216	FALSE	-2.323	0.2404	NA	1.028	0	0	0	686.1	0	0	0
YBL104C	II	YBL104C	-	18177	21293	3117	0.3904	FALSE	-2.323	0.2404	NA	1.028	0	0	0	67.36	0	0	0
YBL100C	II	YBL100C	-	36989	37303	315	0.4349	FALSE	-2.323	0.2404	NA	1.028	0	0	0	666.5	0	0	0
YBL091C-A	II	YBL091C-A	-	46565; 47147	47058; 47180	528	0.4394	FALSE	-2.323	0.2404	NA	1.028	0	0	0	397.6	0	0	0
YBL077W	II	YBL077W	+	80897	81328	432	0.3519	FALSE	-2.323	0.2404	NA	1.028	0	0	0	486	0	0	0
YBL037W	II	YBL037W	+	147209	150286	3078	0.3759	FALSE	-2.323	0.2404	NA	1.028	0	0	0	68.21	0	0	0
YBL016W	II	YBL016W	+	192451	193512	1062	0.4576	FALSE	-2.323	0.2404	NA	1.028	0	0	0	197.7	0	0	0
YBL003C	II	YBL003C	-	235394	235792	399	0.411	FALSE	-2.323	0.2404	NA	1.028	0	0	0	526.2	0	0	0
YBR024W	II	YBR024W	+	289445	290350	906	0.3996	FALSE	-2.323	0.2404	NA	1.028	0	0	0	231.7	0	0	0
YBR033W	II	YBR033W	+	301944	304703	2760	0.3866	FALSE	-2.323	0.2404	NA	1.028	0	0	0	76.07	0	0	0
YBR046C	II	YBR046C	-	330507	331511	1005	0.39	FALSE	-2.323	0.2404	NA	1.028	0	0	0	208.9	0	0	0
YBR054W	II	YBR054W	+	343101	344135	1035	0.4068	FALSE	-2.323	0.2404	NA	1.028	0	0	0	202.9	0	0	0
YBR060C	II	YBR060C	-	360652	362514	1863	0.3859	FALSE	-2.323	0.2404	NA	1.028	0	0	0	112.7	0	0	0
YBR078W	II	YBR078W	+	393123; 393511	393180; 394742	1290	0.4202	FALSE	-2.323	0.2404	NA	1.028	0	0	0	162.8	0	0	0
YBR103W	II	YBR103W	+	447709	449316	1608	0.4067	FALSE	-2.323	0.2404	NA	1.028	0	0	0	130.6	0	0	0
YBR110W	II	YBR110W	+	458872	460221	1350	0.363	FALSE	-2.323	0.2404	NA	1.028	0	0	0	155.5	0	0	0
YBR154C	II	YBR154C	-	548362	549009	648	0.3735	FALSE	-2.323	0.2404	NA	1.028	0	0	0	324	0	0	0
YBR158W	II	YBR158W	+	556549	558198	1650	0.3806	FALSE	-2.323	0.2404	NA	1.028	0	0	0	127.2	0	0	0
YBR164C	II	YBR164C	-	567875	568426	552	0.3841	FALSE	-2.323	0.2404	NA	1.028	0	0	0	380.3	0	0	0
YBR169C	II	YBR169C	-	573915	575996	2082	0.4063	FALSE	-2.323	0.2404	NA	1.028	0	0	0	100.8	0	0	0
YBR195C	II	YBR195C	-	610614	611882	1269	0.4161	FALSE	-2.323	0.2404	NA	1.028	0	0	0	165.4	0	0	0
YBR196C-B	II	YBR196C-B	-	614526	614630	105	0.3905	FALSE	-2.323	0.2404	NA	1.028	0	0	0	2000	0	0	0
YBR201C-A	II	YBR201C-A	-	624493	624696	204	0.4167	FALSE	-2.323	0.2404	NA	1.028	0	0	0	1029	0	0	0
YBR205W	II	YBR205W	+	633622	634836	1215	0.4066	FALSE	-2.323	0.2404	NA	1.028	0	0	0	172.8	0	0	0
YBR245C	II	YBR245C	-	708150	711539	3390	0.3776	FALSE	-2.323	0.2404	NA	1.028	0	0	0	61.93	0	0	0
YBR249C	II	YBR249C	-	716882	717994	1113	0.4376	FALSE	-2.323	0.2404	NA	1.028	0	0	0	188.6	0	0	0
YBR257W	II	YBR257W	+	728885	729724	840	0.3464	FALSE	-2.323	0.2404	NA	1.028	0	0	0	249.9	0	0	0
YCL073C	III	YCL073C	-	6479	8326	1848	0.4042	FALSE	-2.323	0.2404	NA	1.028	0	0	0	113.6	0	0	0
YCL063W	III	YCL063W	+	17290	18561	1272	0.4017	FALSE	-2.323	0.2404	NA	1.028	0	0	0	165.1	0	0	0
YCL058C	III	YCL058C	-	23523	23981	459	0.4183	FALSE	-2.323	0.2404	NA	1.028	0	0	0	457.4	0	0	0
YCL058W-A	III	YCL058W-A	+	23584	23925	342	0.4357	FALSE	-2.323	0.2404	NA	1.028	0	0	0	613.9	0	0	0
YCL009C	III	YCL009C	-	104619	105548	930	0.5011	FALSE	-2.323	0.2404	NA	1.028	0	0	0	225.8	0	0	0
YCR001W	III	YCR001W	+	115685	115999	315	0.3048	FALSE	-2.323	0.2404	NA	1.028	0	0	0	666.5	0	0	0
YCR012W	III	YCR012W	+	137746	138996	1251	0.4604	FALSE	-2.323	0.2404	NA	1.028	0	0	0	167.8	0	0	0
YCR018C	III	YCR018C	-	148238	148903	666	0.3739	FALSE	-2.323	0.2404	NA	1.028	0	0	0	315.2	0	0	0
snR189	III	snR189	-	178610	178798	189	0.3704	FALSE	-2.323	0.2404	NA	1.028	0	0	0	1111	0	0	0
YCR073W-A	III	YCR073W-A	+	246963	247910	948	0.4947	FALSE	-2.323	0.2404	NA	1.028	0	0	0	221.5	0	0	0
YDL240C-A	IV	YDL240C-A	-	22471	22608	138	0.3551	FALSE	-2.323	0.2404	NA	1.028	0	0	0	1521	0	0	0
YDL217C	IV	YDL217C	-	67983	68606	624	0.4311	FALSE	-2.323	0.2404	NA	1.028	0	0	0	336.5	0	0	0
YDL138W	IV	YDL138W	+	213351	215642	2292	0.4263	FALSE	-2.323	0.2404	NA	1.028	0	0	0	91.6	0	0	0
YDL120W	IV	YDL120W	+	245923	246447	525	0.4076	FALSE	-2.323	0.2404	NA	1.028	0	0	0	399.9	0	0	0
YDL075W	IV	YDL075W	+	322226; 322704	322282; 322988	342	0.4327	FALSE	-2.323	0.2404	NA	1.028	0	0	0	613.9	0	0	0
YDL055C	IV	YDL055C	-	355674	356759	1086	0.4162	FALSE	-2.323	0.2404	NA	1.028	0	0	0	193.3	0	0	0
YDL043C	IV	YDL043C	-	375680	376480	801	0.3708	FALSE	-2.323	0.2404	NA	1.028	0	0	0	262.1	0	0	0
tA(AGC)D	IV	tA(AGC)D	+	410379	410451	73	0.6438	FALSE	-2.323	0.2404	NA	1.028	0	0	0	2876	0	0	0
YDL019C	IV	YDL019C	-	417663	421514	3852	0.4039	FALSE	-2.323	0.2404	NA	1.028	0	0	0	54.5	0	0	0
YDR005C	IV	YDR005C	-	456836; 458098	458017; 458103	1188	0.367	FALSE	-2.323	0.2404	NA	1.028	0	0	0	176.7	0	0	0
YDR017C	IV	YDR017C	-	479115	482267	3153	0.3834	FALSE	-2.323	0.2404	NA	1.028	0	0	0	66.59	0	0	0
YDR023W	IV	YDR023W	+	489508	490896	1389	0.3794	FALSE	-2.323	0.2404	NA	1.028	0	0	0	151.2	0	0	0
YDR026C	IV	YDR026C	-	492556	494268	1713	0.3876	FALSE	-2.323	0.2404	NA	1.028	0	0	0	122.6	0	0	0
YDR044W	IV	YDR044W	+	546642	547628	987	0.4417	FALSE	-2.323	0.2404	NA	1.028	0	0	0	212.7	0	0	0
YDR053W	IV	YDR053W	+	560249	560644	396	0.4116	FALSE	-2.323	0.2404	NA	1.028	0	0	0	530.2	0	0	0
YDR061W	IV	YDR061W	+	574164	575783	1620	0.4068	FALSE	-2.323	0.2404	NA	1.028	0	0	0	129.6	0	0	0
YDR084C	IV	YDR084C	-	613405	614004	600	0.395	FALSE	-2.323	0.2404	NA	1.028	0	0	0	349.9	0	0	0
YDR095C	IV	YDR095C	-	636117	636527	411	0.4866	FALSE	-2.323	0.2404	NA	1.028	0	0	0	510.8	0	0	0
YDR140W	IV	YDR140W	+	734138	734803	666	0.3934	FALSE	-2.323	0.2404	NA	1.028	0	0	0	315.2	0	0	0
YDR143C	IV	YDR143C	-	742042	743874	1833	0.4332	FALSE	-2.323	0.2404	NA	1.028	0	0	0	114.5	0	0	0
YDR170W-A	IV	YDR170W-A	+	803195	804517	1323	0.4021	FALSE	-2.323	0.2404	NA	1.028	0	0	0	158.7	0	0	0
YDR176W	IV	YDR176W	+	814452	816560	2109	0.3855	FALSE	-2.323	0.2404	NA	1.028	0	0	0	99.55	0	0	0
YDR187C	IV	YDR187C	-	836228	836746	519	0.474	FALSE	-2.323	0.2404	NA	1.028	0	0	0	404.5	0	0	0
YDR200C	IV	YDR200C	-	854279	856093	1815	0.3702	FALSE	-2.323	0.2404	NA	1.028	0	0	0	115.7	0	0	0
YDR255C	IV	YDR255C	-	966557	967822	1266	0.3562	FALSE	-2.323	0.2404	NA	1.028	0	0	0	165.8	0	0	0
YDR264C	IV	YDR264C	-	996029	998323	2295	0.3996	FALSE	-2.323	0.2404	NA	1.028	0	0	0	91.48	0	0	0
YDR272W	IV	YDR272W	+	1009010	1009834	825	0.3976	FALSE	-2.323	0.2404	NA	1.028	0	0	0	254.5	0	0	0
YDR274C	IV	YDR274C	-	1011589	1011960	372	0.4785	FALSE	-2.323	0.2404	NA	1.028	0	0	0	564.4	0	0	0
YDR275W	IV	YDR275W	+	1012252	1012959	708	0.3856	FALSE	-2.323	0.2404	NA	1.028	0	0	0	296.5	0	0	0
YDR288W	IV	YDR288W	+	1037195	1038106	912	0.3629	FALSE	-2.323	0.2404	NA	1.028	0	0	0	230.2	0	0	0
YDR308C	IV	YDR308C	-	1078027	1078449	423	0.3664	FALSE	-2.323	0.2404	NA	1.028	0	0	0	496.3	0	0	0
YDR321W	IV	YDR321W	+	1108702	1109847	1146	0.4084	FALSE	-2.323	0.2404	NA	1.028	0	0	0	183.2	0	0	0
YDR346C	IV	YDR346C	-	1167214	1168659	1446	0.3942	FALSE	-2.323	0.2404	NA	1.028	0	0	0	145.2	0	0	0
YDR453C	IV	YDR453C	-	1365072	1365662	591	0.4162	FALSE	-2.323	0.2404	NA	1.028	0	0	0	355.2	0	0	0
YDR466W	IV	YDR466W	+	1395121	1397817	2697	0.3878	FALSE	-2.323	0.2404	NA	1.028	0	0	0	77.85	0	0	0
YDR491C	IV	YDR491C	-	1434500	1434991	492	0.3923	FALSE	-2.323	0.2404	NA	1.028	0	0	0	426.7	0	0	0
YDR529C	IV	YDR529C	-	1496165	1496548	384	0.4245	FALSE	-2.323	0.2404	NA	1.028	0	0	0	546.7	0	0	0
YDR533C	IV	YDR533C	-	1501447	1502160	714	0.4076	FALSE	-2.323	0.2404	NA	1.028	0	0	0	294.1	0	0	0
YIL168W	IX	YIL168W	+	29032	29415	384	0.4167	FALSE	-2.323	0.2404	NA	1.028	0	0	0	546.7	0	0	0
YIL152W	IX	YIL152W	+	56545	57252	708	0.4407	FALSE	-2.323	0.2404	NA	1.028	0	0	0	296.5	0	0	0
YIL116W	IX	YIL116W	+	142928	144085	1158	0.3964	FALSE	-2.323	0.2404	NA	1.028	0	0	0	181.3	0	0	0
YIL112W	IX	YIL112W	+	151595	154846	3252	0.3881	FALSE	-2.323	0.2404	NA	1.028	0	0	0	64.56	0	0	0
YIL105C	IX	YIL105C	-	167581	169641	2061	0.378	FALSE	-2.323	0.2404	NA	1.028	0	0	0	101.9	0	0	0
YIL096C	IX	YIL096C	-	182117	183127	1011	0.3422	FALSE	-2.323	0.2404	NA	1.028	0	0	0	207.7	0	0	0
YIL076W	IX	YIL076W	+	216658	217548	891	0.376	FALSE	-2.323	0.2404	NA	1.028	0	0	0	235.6	0	0	0
YIL068W-A	IX	YIL068W-A	+	233013	233396	384	0.3854	FALSE	-2.323	0.2404	NA	1.028	0	0	0	546.7	0	0	0
YIL059C	IX	YIL059C	-	246550	246915	366	0.4481	FALSE	-2.323	0.2404	NA	1.028	0	0	0	573.6	0	0	0
YIL052C	IX	YIL052C	-	256226; 257027	256554; 257063	366	0.4262	FALSE	-2.323	0.2404	NA	1.028	0	0	0	573.6	0	0	0
YIL037C	IX	YIL037C	-	283029	284999	1971	0.3531	FALSE	-2.323	0.2404	NA	1.028	0	0	0	106.5	0	0	0
YIL022W	IX	YIL022W	+	311165	312460	1296	0.4691	FALSE	-2.323	0.2404	NA	1.028	0	0	0	162	0	0	0
YIR017C	IX	YIR017C	-	383556	384119	564	0.4433	FALSE	-2.323	0.2404	NA	1.028	0	0	0	372.3	0	0	0
YIR026C	IX	YIR026C	-	404873	405967	1095	0.4192	FALSE	-2.323	0.2404	NA	1.028	0	0	0	191.7	0	0	0
YIR040C	IX	YIR040C	-	433389	433721	333	0.3964	FALSE	-2.323	0.2404	NA	1.028	0	0	0	630.5	0	0	0
tS(UGA)Q2	MT	tS(UGA)Q2	+	48201	48290	90	0.3778	FALSE	-2.323	0.2404	NA	1.028	0	0	0	2333	0	0	0
RPM1	MT	RPM1	+	85295	85777	483	0.1988	FALSE	-2.323	0.2404	NA	1.028	0	0	0	434.7	0	0	0
YEL076C-A	V	YEL076C-A	-	4185; 4602	4322; 5114	651	0.4531	FALSE	-2.323	0.2404	NA	1.028	0	0	0	322.5	0	0	0
YEL050C	V	YEL050C	-	59670	60851	1182	0.4298	FALSE	-2.323	0.2404	NA	1.028	0	0	0	177.6	0	0	0
YEL026W	V	YEL026W	+	101943	102323	381	0.4068	FALSE	-2.323	0.2404	NA	1.028	0	0	0	551.1	0	0	0
YEL016C	V	YEL016C	-	124737	126218	1482	0.4049	FALSE	-2.323	0.2404	NA	1.028	0	0	0	141.7	0	0	0
YEL008W	V	YEL008W	+	140512	140892	381	0.4593	FALSE	-2.323	0.2404	NA	1.028	0	0	0	551.1	0	0	0
YER018C	V	YER018C	-	191959	192624	666	0.5616	FALSE	-2.323	0.2404	NA	1.028	0	0	0	315.2	0	0	0
YER039C	V	YER039C	-	228456	229205	750	0.4347	FALSE	-2.323	0.2404	NA	1.028	0	0	0	279.9	0	0	0
YER043C	V	YER043C	-	235770	237119	1350	0.4341	FALSE	-2.323	0.2404	NA	1.028	0	0	0	155.5	0	0	0
YER060W-A	V	YER060W-A	+	276572	278164	1593	0.42	FALSE	-2.323	0.2404	NA	1.028	0	0	0	131.8	0	0	0
YER062C	V	YER062C	-	279930	280682	753	0.4449	FALSE	-2.323	0.2404	NA	1.028	0	0	0	278.8	0	0	0
YER077C	V	YER077C	-	314534	316600	2067	0.3749	FALSE	-2.323	0.2404	NA	1.028	0	0	0	101.6	0	0	0
YER140W	V	YER140W	+	451565	453235	1671	0.3764	FALSE	-2.323	0.2404	NA	1.028	0	0	0	125.6	0	0	0
YER151C	V	YER151C	-	469686	472424	2739	0.3983	FALSE	-2.323	0.2404	NA	1.028	0	0	0	76.65	0	0	0
YER167W	V	YER167W	+	518216	520771	2556	0.4038	FALSE	-2.323	0.2404	NA	1.028	0	0	0	82.14	0	0	0
YFL055W	VI	YFL055W	+	17004	18680	1677	0.427	FALSE	-2.323	0.2404	NA	1.028	0	0	0	125.2	0	0	0
YFL028C	VI	YFL028C	-	79344	80213	870	0.3943	FALSE	-2.323	0.2404	NA	1.028	0	0	0	241.3	0	0	0
YFL021W	VI	YFL021W	+	95966	97498	1533	0.4605	FALSE	-2.323	0.2404	NA	1.028	0	0	0	137	0	0	0
YFL020C	VI	YFL020C	-	99231	99599	369	0.4607	FALSE	-2.323	0.2404	NA	1.028	0	0	0	569	0	0	0
YFL009W	VI	YFL009W	+	116145	118484	2340	0.3966	FALSE	-2.323	0.2404	NA	1.028	0	0	0	89.72	0	0	0
YFL004W	VI	YFL004W	+	131810	134296	2487	0.3727	FALSE	-2.323	0.2404	NA	1.028	0	0	0	84.42	0	0	0
YFR010W	VI	YFR010W	+	165067	166566	1500	0.3693	FALSE	-2.323	0.2404	NA	1.028	0	0	0	140	0	0	0
YGL259W	VII	YGL259W	+	8470	8967	498	0.3956	FALSE	-2.323	0.2404	NA	1.028	0	0	0	421.6	0	0	0
YGL252C	VII	YGL252C	-	25718	27484	1767	0.3928	FALSE	-2.323	0.2404	NA	1.028	0	0	0	118.8	0	0	0
YGL251C	VII	YGL251C	-	27921; 31579	31426; 31636	3564	0.3614	FALSE	-2.323	0.2404	NA	1.028	0	0	0	58.91	0	0	0
YGL249W	VII	YGL249W	+	33098	35212	2115	0.3428	FALSE	-2.323	0.2404	NA	1.028	0	0	0	99.27	0	0	0
YGL229C	VII	YGL229C	-	64503	66959	2457	0.3602	FALSE	-2.323	0.2404	NA	1.028	0	0	0	85.45	0	0	0
YGL227W	VII	YGL227W	+	69671	72547	2877	0.3726	FALSE	-2.323	0.2404	NA	1.028	0	0	0	72.98	0	0	0
YGL226W	VII	YGL226W	+	73340	73711	372	0.4355	FALSE	-2.323	0.2404	NA	1.028	0	0	0	564.4	0	0	0
YGL224C	VII	YGL224C	-	78015	78857	843	0.3832	FALSE	-2.323	0.2404	NA	1.028	0	0	0	249.1	0	0	0
YGL216W	VII	YGL216W	+	84885	87302	2418	0.4189	FALSE	-2.323	0.2404	NA	1.028	0	0	0	86.83	0	0	0
YGL177W	VII	YGL177W	+	167559	167906	348	0.3592	FALSE	-2.323	0.2404	NA	1.028	0	0	0	603.3	0	0	0
YGL166W	VII	YGL166W	+	191129	191806	678	0.4735	FALSE	-2.323	0.2404	NA	1.028	0	0	0	309.7	0	0	0
YGL162W	VII	YGL162W	+	198138	199037	900	0.4244	FALSE	-2.323	0.2404	NA	1.028	0	0	0	233.3	0	0	0
YGL139W	VII	YGL139W	+	245716	248124	2409	0.3865	FALSE	-2.323	0.2404	NA	1.028	0	0	0	87.15	0	0	0
YGL122C	VII	YGL122C	-	278946	280523	1578	0.4366	FALSE	-2.323	0.2404	NA	1.028	0	0	0	133	0	0	0
YGL101W	VII	YGL101W	+	312193	312840	648	0.3704	FALSE	-2.323	0.2404	NA	1.028	0	0	0	324	0	0	0
YGL090W	VII	YGL090W	+	343319	344584	1266	0.3752	FALSE	-2.323	0.2404	NA	1.028	0	0	0	165.8	0	0	0
YGL088W	VII	YGL088W	+	345836	346201	366	0.3716	FALSE	-2.323	0.2404	NA	1.028	0	0	0	573.6	0	0	0
snR10	VII	snR10	+	345986	346230	245	0.4367	FALSE	-2.323	0.2404	NA	1.028	0	0	0	856.9	0	0	0
YGL030W	VII	YGL030W	+	439091; 439324	439093; 439638	318	0.4182	FALSE	-2.323	0.2404	NA	1.028	0	0	0	660.2	0	0	0
YGL018C	VII	YGL018C	-	459110	459664	555	0.4198	FALSE	-2.323	0.2404	NA	1.028	0	0	0	378.3	0	0	0
YGR039W	VII	YGR039W	+	574888	575199	312	0.3558	FALSE	-2.323	0.2404	NA	1.028	0	0	0	672.9	0	0	0
YGR055W	VII	YGR055W	+	599417	601141	1725	0.4017	FALSE	-2.323	0.2404	NA	1.028	0	0	0	121.7	0	0	0
YGR062C	VII	YGR062C	-	616328	617278	951	0.4269	FALSE	-2.323	0.2404	NA	1.028	0	0	0	220.8	0	0	0
YGR075C	VII	YGR075C	-	636147	636875	729	0.3471	FALSE	-2.323	0.2404	NA	1.028	0	0	0	288	0	0	0
YGR088W	VII	YGR088W	+	654634	656322	1689	0.4121	FALSE	-2.323	0.2404	NA	1.028	0	0	0	124.3	0	0	0
YGR092W	VII	YGR092W	+	668189	669907	1719	0.3874	FALSE	-2.323	0.2404	NA	1.028	0	0	0	122.1	0	0	0
YGR093W	VII	YGR093W	+	670388	671911	1524	0.374	FALSE	-2.323	0.2404	NA	1.028	0	0	0	137.8	0	0	0
YGR094W	VII	YGR094W	+	672186	675500	3315	0.3961	FALSE	-2.323	0.2404	NA	1.028	0	0	0	63.33	0	0	0
YGR162W	VII	YGR162W	+	824059	826917	2859	0.4131	FALSE	-2.323	0.2404	NA	1.028	0	0	0	73.44	0	0	0
YGR169C	VII	YGR169C	-	834689	835903	1215	0.4025	FALSE	-2.323	0.2404	NA	1.028	0	0	0	172.8	0	0	0
YGR181W	VII	YGR181W	+	858287	858604	318	0.4403	FALSE	-2.323	0.2404	NA	1.028	0	0	0	660.2	0	0	0
YGR202C	VII	YGR202C	-	903474	904748	1275	0.422	FALSE	-2.323	0.2404	NA	1.028	0	0	0	164.7	0	0	0
YGR255C	VII	YGR255C	-	1002523	1003962	1440	0.4021	FALSE	-2.323	0.2404	NA	1.028	0	0	0	145.8	0	0	0
YGR256W	VII	YGR256W	+	1004624	1006102	1479	0.4307	FALSE	-2.323	0.2404	NA	1.028	0	0	0	142	0	0	0
YGR267C	VII	YGR267C	-	1025004	1025735	732	0.3934	FALSE	-2.323	0.2404	NA	1.028	0	0	0	286.8	0	0	0
YGR282C	VII	YGR282C	-	1057783	1058724	942	0.431	FALSE	-2.323	0.2404	NA	1.028	0	0	0	222.9	0	0	0
YHL047C	VIII	YHL047C	-	8351	10213	1863	0.4106	FALSE	-2.323	0.2404	NA	1.028	0	0	0	112.7	0	0	0
YHL042W	VIII	YHL042W	+	15667	16119	453	0.3885	FALSE	-2.323	0.2404	NA	1.028	0	0	0	463.5	0	0	0
YHL041W	VIII	YHL041W	+	17392	17841	450	0.3444	FALSE	-2.323	0.2404	NA	1.028	0	0	0	466.6	0	0	0
YHL029C	VIII	YHL029C	-	45929	47968	2040	0.4074	FALSE	-2.323	0.2404	NA	1.028	0	0	0	102.9	0	0	0
YHL021C	VIII	YHL021C	-	64462	65859	1398	0.4041	FALSE	-2.323	0.2404	NA	1.028	0	0	0	150.2	0	0	0
YHL012W	VIII	YHL012W	+	78936	80417	1482	0.332	FALSE	-2.323	0.2404	NA	1.028	0	0	0	141.7	0	0	0
YHL011C	VIII	YHL011C	-	80654	81616	963	0.3904	FALSE	-2.323	0.2404	NA	1.028	0	0	0	218	0	0	0
YHR006W	VIII	YHR006W	+	117814	119439	1626	0.4096	FALSE	-2.323	0.2404	NA	1.028	0	0	0	129.1	0	0	0
YHR013C	VIII	YHR013C	-	130730	131446	717	0.4045	FALSE	-2.323	0.2404	NA	1.028	0	0	0	292.8	0	0	0
YHR018C	VIII	YHR018C	-	140011	141402	1392	0.4116	FALSE	-2.323	0.2404	NA	1.028	0	0	0	150.8	0	0	0
YHR036W	VIII	YHR036W	+	180345	181760	1416	0.4054	FALSE	-2.323	0.2404	NA	1.028	0	0	0	148.3	0	0	0
